Diffusion_Index,Survey,TimePeriod
-29.9867257431793,25-Apr,Last 12 months
-30.6153322150681,25-May,Last 12 months
-28.2033787526212,25-Jun,Last 12 months
-29.5291348268973,25-Jul,Last 12 months
-27.5280642904846,25-Aug,Last 12 months
-31.2531108184931,25-Sep,Last 12 months
-29.994105813816,25-Oct,Last 12 months
-28.1873601404478,25-Nov,Last 12 months
-27.0329692285252,25-Dec,Last 12 months
-24.08038520812988,26-Jan,Last 12 months
-22.73625564575195,26-Feb,Last 12 months
-23.65426063537598,26-Mar,Last 12 months
-25.64377021789551,26-Apr,Last 12 months
-19.5518900607514,23-May,Last 3 years
-25.5221317362055,23-Jun,Last 3 years
-24.6326317901775,23-Jul,Last 3 years
-29.3458111522549,23-Aug,Last 3 years
-28.5171654891329,23-Sep,Last 3 years
-23.1250498260173,23-Oct,Last 3 years
-26.926699446448,23-Nov,Last 3 years
-35.4670239799406,23-Dec,Last 3 years
-25.4934609308683,24-Jan,Last 3 years
-21.7666254753715,24-Feb,Last 3 years
-20.8894729927375,24-Mar,Last 3 years
-22.7204860143724,24-Apr,Last 3 years
-25.42212177607,24-May,Last 3 years
-26.1888778262341,24-Jun,Last 3 years
-29.296040940029,24-Jul,Last 3 years
-27.9945077022413,24-Aug,Last 3 years
-29.1830712326066,24-Sep,Last 3 years
-25.5096857308687,24-Oct,Last 3 years
-26.5638482119723,24-Nov,Last 3 years
-24.4768023038949,24-Dec,Last 3 years
-25.9448534599117,25-Jan,Last 3 years
-25.5459002075807,25-Feb,Last 3 years
-23.7291299913299,25-Mar,Last 3 years
-29.9867257431793,25-Apr,Last 3 years
-30.6153322150681,25-May,Last 3 years
-28.2033787526212,25-Jun,Last 3 years
-29.5291348268973,25-Jul,Last 3 years
-27.5280642904846,25-Aug,Last 3 years
-31.2531108184931,25-Sep,Last 3 years
-29.994105813816,25-Oct,Last 3 years
-28.1873601404478,25-Nov,Last 3 years
-27.0329692285252,25-Dec,Last 3 years
-24.08038520812988,26-Jan,Last 3 years
-22.73625564575195,26-Feb,Last 3 years
-23.65426063537598,26-Mar,Last 3 years
-25.64377021789551,26-Apr,Last 3 years
-18.00786380918521,21-May,Last 5 years
-18.30102179050744,21-Jun,Last 5 years
-17.43744369483558,21-Jul,Last 5 years
-22.28313023993472,21-Aug,Last 5 years
-20.46808603850841,21-Sep,Last 5 years
-20.07769746567517,21-Oct,Last 5 years
-15.66482395070864,21-Nov,Last 5 years
-16.39466817578705,21-Dec,Last 5 years
-15.09083898961737,22-Jan,Last 5 years
-21.74556547620938,22-Feb,Last 5 years
-24.87300807705595,22-Mar,Last 5 years
-24.4335700049997,22-Apr,Last 5 years
-22.67103533743301,22-May,Last 5 years
-23.0483480388079,22-Jun,Last 5 years
-23.3357765419757,22-Jul,Last 5 years
-23.1350468031987,22-Aug,Last 5 years
-21.4512817961832,22-Sep,Last 5 years
-28.61012,22-Oct,Last 5 years
-22.4020938030165,22-Nov,Last 5 years
-21.898571860117,22-Dec,Last 5 years
-24.6507985324436,23-Jan,Last 5 years
-25.8677987686114,23-Feb,Last 5 years
-25.816794887717,23-Mar,Last 5 years
-26.0069613261387,23-Apr,Last 5 years
-19.5518900607514,23-May,Last 5 years
-25.5221317362055,23-Jun,Last 5 years
-24.6326317901775,23-Jul,Last 5 years
-29.3458111522549,23-Aug,Last 5 years
-28.5171654891329,23-Sep,Last 5 years
-23.1250498260173,23-Oct,Last 5 years
-26.926699446448,23-Nov,Last 5 years
-35.4670239799406,23-Dec,Last 5 years
-25.4934609308683,24-Jan,Last 5 years
-21.7666254753715,24-Feb,Last 5 years
-20.8894729927375,24-Mar,Last 5 years
-22.7204860143724,24-Apr,Last 5 years
-25.42212177607,24-May,Last 5 years
-26.1888778262341,24-Jun,Last 5 years
-29.296040940029,24-Jul,Last 5 years
-27.9945077022413,24-Aug,Last 5 years
-29.1830712326066,24-Sep,Last 5 years
-25.5096857308687,24-Oct,Last 5 years
-26.5638482119723,24-Nov,Last 5 years
-24.4768023038949,24-Dec,Last 5 years
-25.9448534599117,25-Jan,Last 5 years
-25.5459002075807,25-Feb,Last 5 years
-23.7291299913299,25-Mar,Last 5 years
-29.9867257431793,25-Apr,Last 5 years
-30.6153322150681,25-May,Last 5 years
-28.2033787526212,25-Jun,Last 5 years
-29.5291348268973,25-Jul,Last 5 years
-27.5280642904846,25-Aug,Last 5 years
-31.2531108184931,25-Sep,Last 5 years
-29.994105813816,25-Oct,Last 5 years
-28.1873601404478,25-Nov,Last 5 years
-27.0329692285252,25-Dec,Last 5 years
-24.08038520812988,26-Jan,Last 5 years
-22.73625564575195,26-Feb,Last 5 years
-23.65426063537598,26-Mar,Last 5 years
-25.64377021789551,26-Apr,Last 5 years
-22.96816871809854,16-May,Last 10 years
-17.34243857608273,16-Jun,Last 10 years
-20.23353853530089,16-Jul,Last 10 years
-19.56289750835745,16-Aug,Last 10 years
-20.95357672277281,16-Sep,Last 10 years
-20.62359517203593,16-Oct,Last 10 years
-19.73847650747767,16-Nov,Last 10 years
-19.74339393414266,16-Dec,Last 10 years
-17.36846317458189,17-Jan,Last 10 years
-20.52969345692465,17-Feb,Last 10 years
-19.29831631458982,17-Mar,Last 10 years
-17.51919247395532,17-Apr,Last 10 years
-21.72485769056746,17-May,Last 10 years
-18.43453094521985,17-Jun,Last 10 years
-15.68727418894191,17-Jul,Last 10 years
-17.5118726580285,17-Aug,Last 10 years
-20.97352758544167,17-Sep,Last 10 years
-18.23957580786117,17-Oct,Last 10 years
-16.7493580493667,17-Nov,Last 10 years
-19.02173572063528,17-Dec,Last 10 years
-13.21847132159282,18-Jan,Last 10 years
-9.163153215340166,18-Feb,Last 10 years
-11.69126110668858,18-Mar,Last 10 years
-14.37065636531049,18-Apr,Last 10 years
-12.21664449240631,18-May,Last 10 years
-12.69174272378439,18-Jun,Last 10 years
-7.722359978412001,18-Jul,Last 10 years
-14.47556676187619,18-Aug,Last 10 years
-18.30026225704789,18-Sep,Last 10 years
-16.93945954147767,18-Oct,Last 10 years
-19.19841812766298,18-Nov,Last 10 years
-19.9132984018504,18-Dec,Last 10 years
-22,19-Jan,Last 10 years
-17.1194352645934,19-Feb,Last 10 years
-15.24665242973397,19-Mar,Last 10 years
-16.77601391166426,19-Apr,Last 10 years
-14.2034109667469,19-May,Last 10 years
-14.20541513304333,19-Jun,Last 10 years
-16.13750069930511,19-Jul,Last 10 years
-15.18121635819794,19-Aug,Last 10 years
-16.65791576670387,19-Sep,Last 10 years
-17.57827218056367,19-Oct,Last 10 years
-10.70513767105396,19-Nov,Last 10 years
-12.93591189207834,19-Dec,Last 10 years
-15.2352742962729,20-Jan,Last 10 years
-13.6403565197597,20-Feb,Last 10 years
-16.48405698353165,20-Mar,Last 10 years
-53.16697823214056,20-Apr,Last 10 years
-49.70606044809116,20-May,Last 10 years
-40.36703734920105,20-Jun,Last 10 years
-35.97986913944714,20-Jul,Last 10 years
-32.72956550647327,20-Aug,Last 10 years
-27.573940278,20-Sep,Last 10 years
-28.26518816065353,20-Oct,Last 10 years
-24.32952156907884,20-Nov,Last 10 years
-19.99812513925601,20-Dec,Last 10 years
-23.81787890412865,21-Jan,Last 10 years
-21.99178841031049,21-Feb,Last 10 years
-23.47302577339072,21-Mar,Last 10 years
-17.01365947410469,21-Apr,Last 10 years
-18.00786380918521,21-May,Last 10 years
-18.30102179050744,21-Jun,Last 10 years
-17.43744369483558,21-Jul,Last 10 years
-22.28313023993472,21-Aug,Last 10 years
-20.46808603850841,21-Sep,Last 10 years
-20.07769746567517,21-Oct,Last 10 years
-15.66482395070864,21-Nov,Last 10 years
-16.39466817578705,21-Dec,Last 10 years
-15.09083898961737,22-Jan,Last 10 years
-21.74556547620938,22-Feb,Last 10 years
-24.87300807705595,22-Mar,Last 10 years
-24.4335700049997,22-Apr,Last 10 years
-22.67103533743301,22-May,Last 10 years
-23.0483480388079,22-Jun,Last 10 years
-23.3357765419757,22-Jul,Last 10 years
-23.1350468031987,22-Aug,Last 10 years
-21.4512817961832,22-Sep,Last 10 years
-28.61012,22-Oct,Last 10 years
-22.4020938030165,22-Nov,Last 10 years
-21.898571860117,22-Dec,Last 10 years
-24.6507985324436,23-Jan,Last 10 years
-25.8677987686114,23-Feb,Last 10 years
-25.816794887717,23-Mar,Last 10 years
-26.0069613261387,23-Apr,Last 10 years
-19.5518900607514,23-May,Last 10 years
-25.5221317362055,23-Jun,Last 10 years
-24.6326317901775,23-Jul,Last 10 years
-29.3458111522549,23-Aug,Last 10 years
-28.5171654891329,23-Sep,Last 10 years
-23.1250498260173,23-Oct,Last 10 years
-26.926699446448,23-Nov,Last 10 years
-35.4670239799406,23-Dec,Last 10 years
-25.4934609308683,24-Jan,Last 10 years
-21.7666254753715,24-Feb,Last 10 years
-20.8894729927375,24-Mar,Last 10 years
-22.7204860143724,24-Apr,Last 10 years
-25.42212177607,24-May,Last 10 years
-26.1888778262341,24-Jun,Last 10 years
-29.296040940029,24-Jul,Last 10 years
-27.9945077022413,24-Aug,Last 10 years
-29.1830712326066,24-Sep,Last 10 years
-25.5096857308687,24-Oct,Last 10 years
-26.5638482119723,24-Nov,Last 10 years
-24.4768023038949,24-Dec,Last 10 years
-25.9448534599117,25-Jan,Last 10 years
-25.5459002075807,25-Feb,Last 10 years
-23.7291299913299,25-Mar,Last 10 years
-29.9867257431793,25-Apr,Last 10 years
-30.6153322150681,25-May,Last 10 years
