Diffusion_Index,Survey,TimePeriod
-1.197169497498595,18-Jan,2018 forward
4.565350261843921,18-Feb,2018 forward
1.939546384598421,18-Mar,2018 forward
.7320407052757517,18-Apr,2018 forward
1.301206181057827,18-May,2018 forward
-.1601080032297713,18-Jun,2018 forward
-.5393703208773708,18-Jul,2018 forward
-1.80631427224631,18-Aug,2018 forward
-6.21129281266096,18-Sep,2018 forward
-6.180566353078245,18-Oct,2018 forward
-4.140770886234797,18-Nov,2018 forward
-10.08726712434381,18-Dec,2018 forward
-5,19-Jan,2018 forward
-3.834696939543732,19-Feb,2018 forward
-2.220489954407822,19-Mar,2018 forward
-2.69523447071909,19-Apr,2018 forward
-1.545975445222229,19-May,2018 forward
-4.91421413750774,19-Jun,2018 forward
-2.098431446628418,19-Jul,2018 forward
-3.889904565817328,19-Aug,2018 forward
-2.389367262226136,19-Sep,2018 forward
-2.917212980123313,19-Oct,2018 forward
1.348821288674895,19-Nov,2018 forward
-.9908030194944422,19-Dec,2018 forward
-3.785815936088679,20-Jan,2018 forward
-2.774449370057588,20-Feb,2018 forward
-9.504176089439897,20-Mar,2018 forward
-65.87205153917688,20-Apr,2018 forward
-62.97066908694984,20-May,2018 forward
-50.3735178874376,20-Jun,2018 forward
-38.1145614911845,20-Jul,2018 forward
-29.45397363779735,20-Aug,2018 forward
-27.179404767,20-Sep,2018 forward
-25.32544954294646,20-Oct,2018 forward
-25.24537809267649,20-Nov,2018 forward
-19.04696725091287,20-Dec,2018 forward
-20.89741791564276,21-Jan,2018 forward
-18.32974960744688,21-Feb,2018 forward
-19.51436092916552,21-Mar,2018 forward
-3.510481905624792,21-Apr,2018 forward
-.0249664887515522,21-May,2018 forward
3.376765356039746,21-Jun,2018 forward
5.02291996007491,21-Jul,2018 forward
3.794239663749177,21-Aug,2018 forward
-.2178600646620765,21-Sep,2018 forward
2.872807170549258,21-Oct,2018 forward
3.186944302607528,21-Nov,2018 forward
.7752181970559686,21-Dec,2018 forward
1.929036694311116,22-Jan,2018 forward
3.295586555439845,22-Feb,2018 forward
-.572396681257656,22-Mar,2018 forward
-1.43715912787624,22-Apr,2018 forward
.1179628081428765,22-May,2018 forward
-6.18935074938124,22-Jun,2018 forward
-6.39084316047672,22-Jul,2018 forward
-6.86624819010567,22-Aug,2018 forward
-9.697995818353229,22-Sep,2018 forward
-10.57629,22-Oct,2018 forward
-11.4536986412144,22-Nov,2018 forward
-17.9881956062956,22-Dec,2018 forward
-17.3530262787558,23-Jan,2018 forward
-10.9944109933195,23-Feb,2018 forward
-20.1979718775406,23-Mar,2018 forward
-12.7458572146605,23-Apr,2018 forward
-18.367770967604,23-May,2018 forward
-23.2009839504324,23-Jun,2018 forward
-19.9974235348344,23-Jul,2018 forward
-16.8654784253398,23-Aug,2018 forward
-19.3869193835598,23-Sep,2018 forward
-21.6580973236501,23-Oct,2018 forward
-25.4427445492983,23-Nov,2018 forward
-21.9147811957664,23-Dec,2018 forward
-20.0874112639734,24-Jan,2018 forward
-16.651950288055,24-Feb,2018 forward
-15.4388545438126,24-Mar,2018 forward
-15.2766272232439,24-Apr,2018 forward
-19.5285405434983,24-May,2018 forward
-19.9382708948692,24-Jun,2018 forward
-25.7047064968636,24-Jul,2018 forward
-23.2785346703895,24-Aug,2018 forward
-27.1650926348728,24-Sep,2018 forward
-23.9881694807096,24-Oct,2018 forward
-23.2105455857476,24-Nov,2018 forward
-22.173414914767,24-Dec,2018 forward
-22.5439751157446,25-Jan,2018 forward
-24.9021283506051,25-Feb,2018 forward
-23.4646372170658,25-Mar,2018 forward
-27.709802492554,25-Apr,2018 forward
-27.4111994731463,25-May,2018 forward
-25.3176166914386,25-Jun,2018 forward
-25.50210630298,25-Jul,2018 forward
-24.0253864432256,25-Aug,2018 forward
-26.674637584449,25-Sep,2018 forward
-25.3004100966612,25-Oct,2018 forward
-23.0997627924764,25-Nov,2018 forward
-21.8673187918698,25-Dec,2018 forward
-16.80908203125,26-Jan,2018 forward
-15.40652561187744,26-Feb,2018 forward
-17.31988334655762,26-Mar,2018 forward
-17.2139720916748,26-Apr,2018 forward
-41.63441876750699,11-Oct,Entire Series
-31.89423931470258,11-Nov,Entire Series
-30.97102128514558,11-Dec,Entire Series
-27.31361755202278,12-Jan,Entire Series
-28.37449184175723,12-Feb,Entire Series
-21.07117755828886,12-Mar,Entire Series
-22.95005723257286,12-Apr,Entire Series
-26.62343928329346,12-May,Entire Series
-23.13678975641457,12-Jun,Entire Series
-26.77802666807023,12-Jul,Entire Series
-27.80274997285284,12-Aug,Entire Series
-22.5900277276687,12-Sep,Entire Series
-29.79237389523879,12-Oct,Entire Series
-29.912183046791,12-Nov,Entire Series
-23.70450616259203,12-Dec,Entire Series
-28.80984214879929,13-Jan,Entire Series
-29.83996344865552,13-Feb,Entire Series
-21.7773983387096,13-Mar,Entire Series
-24.55604631193966,13-Apr,Entire Series
-21.77016246900167,13-May,Entire Series
-14.0489477028292,13-Jun,Entire Series
-20.88551816154691,13-Jul,Entire Series
-16.13952148284231,13-Aug,Entire Series
-20.0637366884773,13-Sep,Entire Series
-25.23654636628077,13-Oct,Entire Series
-26.27382114285489,13-Nov,Entire Series
-18.16819883176111,13-Dec,Entire Series
-24.35826975851536,14-Jan,Entire Series
-20.53502859002675,14-Feb,Entire Series
-21.24451000105832,14-Mar,Entire Series
-20.72301120705439,14-Apr,Entire Series
-18.31095544380709,14-May,Entire Series
-16.61102437649118,14-Jun,Entire Series
-20.87732931902883,14-Jul,Entire Series
-12.87085619763285,14-Aug,Entire Series
-14.05406981124659,14-Sep,Entire Series
-16.26880553444165,14-Oct,Entire Series
-10.56153995725171,14-Nov,Entire Series
-10.54985565462863,14-Dec,Entire Series
-8.41769348622659,15-Jan,Entire Series
-6.376530245433461,15-Feb,Entire Series
-8.715679176022885,15-Mar,Entire Series
-7.354818561428321,15-Apr,Entire Series
-2.377357422966782,15-May,Entire Series
-4.832684838907115,15-Jun,Entire Series
-8.036586267432538,15-Jul,Entire Series
-10.39045612034058,15-Aug,Entire Series
-4.647423811913628,15-Sep,Entire Series
-13.47230624094236,15-Oct,Entire Series
-10.90436466370247,15-Nov,Entire Series
-9.938152779281495,15-Dec,Entire Series
-10.15306217253184,16-Jan,Entire Series
-11.66705700080138,16-Feb,Entire Series
-13.06025116570588,16-Mar,Entire Series
-8.470712008684357,16-Apr,Entire Series
-10.58727668788249,16-May,Entire Series
-10.19383328244504,16-Jun,Entire Series
-14.03102369750003,16-Jul,Entire Series
-13.16762179753674,16-Aug,Entire Series
-13.98352012673853,16-Sep,Entire Series
-17.78898193322368,16-Oct,Entire Series
-15.30633800550585,16-Nov,Entire Series
-11.05764209609557,16-Dec,Entire Series
-10.88298974577128,17-Jan,Entire Series
-10.43442682029695,17-Feb,Entire Series
-11.73653075645683,17-Mar,Entire Series
-12.18477352614441,17-Apr,Entire Series
-12.35265228430998,17-May,Entire Series
-9.840495071789425,17-Jun,Entire Series
-10.43082158639649,17-Jul,Entire Series
-11.07640238483725,17-Aug,Entire Series
-7.83756563950372,17-Sep,Entire Series
-11.24905013186321,17-Oct,Entire Series
-8.564962567995464,17-Nov,Entire Series
-10.41373931807352,17-Dec,Entire Series
-1.197169497498595,18-Jan,Entire Series
4.565350261843921,18-Feb,Entire Series
1.939546384598421,18-Mar,Entire Series
.7320407052757517,18-Apr,Entire Series
1.301206181057827,18-May,Entire Series
-.1601080032297713,18-Jun,Entire Series
-.5393703208773708,18-Jul,Entire Series
-1.80631427224631,18-Aug,Entire Series
-6.21129281266096,18-Sep,Entire Series
-6.180566353078245,18-Oct,Entire Series
-4.140770886234797,18-Nov,Entire Series
-10.08726712434381,18-Dec,Entire Series
-5,19-Jan,Entire Series
-3.834696939543732,19-Feb,Entire Series
-2.220489954407822,19-Mar,Entire Series
-2.69523447071909,19-Apr,Entire Series
-1.545975445222229,19-May,Entire Series
-4.91421413750774,19-Jun,Entire Series
-2.098431446628418,19-Jul,Entire Series
-3.889904565817328,19-Aug,Entire Series
-2.389367262226136,19-Sep,Entire Series
-2.917212980123313,19-Oct,Entire Series
1.348821288674895,19-Nov,Entire Series
-.9908030194944422,19-Dec,Entire Series
-3.785815936088679,20-Jan,Entire Series
-2.774449370057588,20-Feb,Entire Series
-9.504176089439897,20-Mar,Entire Series
-65.87205153917688,20-Apr,Entire Series
-62.97066908694984,20-May,Entire Series
-50.3735178874376,20-Jun,Entire Series
-38.1145614911845,20-Jul,Entire Series
-29.45397363779735,20-Aug,Entire Series
-27.179404767,20-Sep,Entire Series
-25.32544954294646,20-Oct,Entire Series
-25.24537809267649,20-Nov,Entire Series
-19.04696725091287,20-Dec,Entire Series
-20.89741791564276,21-Jan,Entire Series
-18.32974960744688,21-Feb,Entire Series
-19.51436092916552,21-Mar,Entire Series
-3.510481905624792,21-Apr,Entire Series
-.0249664887515522,21-May,Entire Series
3.376765356039746,21-Jun,Entire Series
5.02291996007491,21-Jul,Entire Series
3.794239663749177,21-Aug,Entire Series
-.2178600646620765,21-Sep,Entire Series
2.872807170549258,21-Oct,Entire Series
3.186944302607528,21-Nov,Entire Series
.7752181970559686,21-Dec,Entire Series
1.929036694311116,22-Jan,Entire Series
3.295586555439845,22-Feb,Entire Series
-.572396681257656,22-Mar,Entire Series
-1.43715912787624,22-Apr,Entire Series
.1179628081428765,22-May,Entire Series
-6.18935074938124,22-Jun,Entire Series
-6.39084316047672,22-Jul,Entire Series
-6.86624819010567,22-Aug,Entire Series
-9.697995818353229,22-Sep,Entire Series
-10.57629,22-Oct,Entire Series
-11.4536986412144,22-Nov,Entire Series
-17.9881956062956,22-Dec,Entire Series
-17.3530262787558,23-Jan,Entire Series
-10.9944109933195,23-Feb,Entire Series
-20.1979718775406,23-Mar,Entire Series
-12.7458572146605,23-Apr,Entire Series
-18.367770967604,23-May,Entire Series
-23.2009839504324,23-Jun,Entire Series
-19.9974235348344,23-Jul,Entire Series
-16.8654784253398,23-Aug,Entire Series
-19.3869193835598,23-Sep,Entire Series
-21.6580973236501,23-Oct,Entire Series
-25.4427445492983,23-Nov,Entire Series
-21.9147811957664,23-Dec,Entire Series
-20.0874112639734,24-Jan,Entire Series
-16.651950288055,24-Feb,Entire Series
-15.4388545438126,24-Mar,Entire Series
-15.2766272232439,24-Apr,Entire Series
-19.5285405434983,24-May,Entire Series
-19.9382708948692,24-Jun,Entire Series
-25.7047064968636,24-Jul,Entire Series
-23.2785346703895,24-Aug,Entire Series
