Survey,Smoothed Cost,Smoothed Price,Unsmoothed Cost,Unsmoothed Price,TimePeriod
7/1/2024,,,2.037,2.232,Entire Series
8/1/2024,,,1.923,1.786,Entire Series
9/1/2024,2.036,2.024,2.148,2.053,Entire Series
10/1/2024,2.064,2.06,2.12,2.339,Entire Series
11/1/2024,2.16,2.17,2.213,2.116,Entire Series
12/1/2024,2.201,2.244,2.269,2.277,Entire Series
1/1/2025,2.268,2.383,2.323,2.755,Entire Series
2/1/2025,2.2,2.364,2.009,2.059,Entire Series
3/1/2025,2.161,2.357,2.152,2.257,Entire Series
4/1/2025,2.326,2.392,2.819,2.86,Entire Series
5/1/2025,2.424,2.519,2.301,2.441,Entire Series
6/1/2025,2.5,2.583,2.379,2.449,Entire Series
7/1/2025,2.232,2.323,2.016,2.08,Entire Series
8/1/2025,2.106,2.122,1.923,1.836,Entire Series
9/1/2025,1.973,1.916,1.978,1.832,Entire Series
10/1/2025,1.976,2.006,2.025,2.35,Entire Series
11/1/2025,1.984,2.052,1.948,1.976,Entire Series
12/1/2025,2.075,2.187,2.251,2.235,Entire Series
1/1/2026,1.982,2.069,1.748,1.995,Entire Series
2/1/2026,1.942,2.052,1.827,1.926,Entire Series
3/1/2026,1.923,2.067,2.194,2.281,Entire Series
4/1/2026,2.006,2.162,1.996,2.278,Entire Series
5/1/2026,2.049,2.24,1.957,2.16,Entire Series
5/1/2025,2.424,2.519,2.301,2.441,Last 12 months
6/1/2025,2.5,2.583,2.379,2.449,Last 12 months
7/1/2025,2.232,2.323,2.016,2.08,Last 12 months
8/1/2025,2.106,2.122,1.923,1.836,Last 12 months
9/1/2025,1.973,1.916,1.978,1.832,Last 12 months
10/1/2025,1.976,2.006,2.025,2.35,Last 12 months
11/1/2025,1.984,2.052,1.948,1.976,Last 12 months
12/1/2025,2.075,2.187,2.251,2.235,Last 12 months
1/1/2026,1.982,2.069,1.748,1.995,Last 12 months
2/1/2026,1.942,2.052,1.827,1.926,Last 12 months
3/1/2026,1.923,2.067,2.194,2.281,Last 12 months
4/1/2026,2.006,2.162,1.996,2.278,Last 12 months
5/1/2026,2.049,2.24,1.957,2.16,Last 12 months
