Survey,10 th percentile,25 th percentile,50 th percentile,75 th percentile,90 th percentile,10th percentile,25th percentile,50th percentile,75th percentile,90th percentile,TimePeriod
9/1/2016,-11.64,-2.532,2.176,9.524,19.82,,,,,,Entire Series
10/1/2016,-10.526,-2.02,1.98,8.978,13.953,,,,,,Entire Series
11/1/2016,-10.526,-5.128,2.469,7.692,12.207,,,,,,Entire Series
12/1/2016,-5.128,0,3.198,9.069,13.953,,,,,,Entire Series
1/1/2017,-12.766,-2.02,2.956,7.692,13.953,,,,,,Entire Series
2/1/2017,-4.499,0,2.956,7.229,10.427,,,,,,Entire Series
3/1/2017,-12.766,-1.005,2.956,9.524,17.768,,,,,,Entire Series
4/1/2017,-4.604,.995,3.922,8.612,12.207,,,,,,Entire Series
5/1/2017,-9.754,0,3.922,8.612,13.953,,,,,,Entire Series
6/1/2017,-3.046,0,3.44,7.692,10.427,,,,,,Entire Series
7/1/2017,-6.186,0,3.922,9.524,13.953,,,,,,Entire Series
8/1/2017,-1.511,.995,3.922,8.061,17.352,,,,,,Entire Series
9/1/2017,-6.186,0,3.922,8.612,18.182,,,,,,Entire Series
10/1/2017,-1.005,.995,3.922,8.337,12.207,,,,,,Entire Series
11/1/2017,-8.117,.995,3.922,9.524,22.222,,,,,,Entire Series
12/1/2017,-1.207,.995,4.162,8.612,13.084,,,,,,Entire Series
1/1/2018,-10.526,.995,4.878,9.069,15.668,,,,,,Entire Series
2/1/2018,-1.005,1.98,4.878,9.524,17.017,,,,,,Entire Series
3/1/2018,-16.216,0,4.878,10.427,16.934,,,,,,Entire Series
4/1/2018,-2.532,.995,3.922,9.524,18.182,,,,,,Entire Series
5/1/2018,-3.459,1.98,6.202,12.646,22.222,,,,,,Entire Series
6/1/2018,.995,1.98,4.878,11.321,15.668,,,,,,Entire Series
7/1/2018,-10.526,.2,4.878,11.321,23.009,,,,,,Entire Series
8/1/2018,0,.995,5.163,10.427,18.182,,,,,,Entire Series
9/1/2018,-2.02,2.664,9.524,13.953,22.222,,,,,,Entire Series
10/1/2018,.767,1.98,5.825,10.427,14.213,,,,,,Entire Series
11/1/2018,-10.526,1.98,5.825,12.646,26.087,,,,,,Entire Series
12/1/2018,0,2.761,4.878,9.705,17.352,,,,,,Entire Series
1/1/2019,0,2.176,7.415,13.084,22.222,,,,,,Entire Series
2/1/2019,-1.511,1.98,4.878,10.427,13.953,,,,,,Entire Series
3/1/2019,-1.005,.995,5.825,11.676,18.182,,,,,,Entire Series
4/1/2019,-5.128,1.98,4.878,9.251,18.182,,,,,,Entire Series
5/1/2019,-7.254,1.98,4.878,8.612,13.084,,,,,,Entire Series
6/1/2019,-2.02,.995,4.878,10.427,26.84,,,,,,Entire Series
7/1/2019,-6.292,-1.511,1.98,9.524,13.953,,,,,,Entire Series
8/1/2019,-10.526,0,3.633,6.763,13.52,,,,,,Entire Series
9/1/2019,-2.02,0,2.956,5.825,15.668,,,,,,Entire Series
10/1/2019,-4.082,-.1,2.956,7.692,13.953,,,,,,Entire Series
11/1/2019,-5.128,0,2.956,7.692,14.815,,,,,,Entire Series
12/1/2019,-5.128,0,2.956,9.524,19.005,,,,,,Entire Series
1/1/2020,-2.943,-.803,2.956,9.524,13.953,,,,,,Entire Series
2/1/2020,-10.526,.598,2.956,8.612,13.953,,,,,,Entire Series
3/1/2020,-6.186,-1.005,0,6.202,11.321,,,,,,Entire Series
4/1/2020,-18.579,-5.128,.995,5.825,10.427,,,,,,Entire Series
5/1/2020,-35.294,-1.005,1.98,6.763,11.321,,,,,,Entire Series
6/1/2020,-35.294,-16.216,-5.128,2.781,9.524,,,,,,Entire Series
