Survey,Realized,Expected,TimePeriod
9/1/2016,3.054,,Entire Series
10/1/2016,2.839,,Entire Series
11/1/2016,3.275,,Entire Series
12/1/2016,2.441,,Entire Series
1/1/2017,2.457,,Entire Series
2/1/2017,2.414,,Entire Series
3/1/2017,3.165,,Entire Series
4/1/2017,2.789,,Entire Series
5/1/2017,2.158,,Entire Series
6/1/2017,2.402,,Entire Series
7/1/2017,2.127,,Entire Series
8/1/2017,3.459,,Entire Series
9/1/2017,3.048,.797,Entire Series
10/1/2017,2.093,.699,Entire Series
11/1/2017,1.763,1.22,Entire Series
12/1/2017,3.045,1.16,Entire Series
1/1/2018,1.996,1.085,Entire Series
2/1/2018,2.094,2.035,Entire Series
3/1/2018,2.056,2.272,Entire Series
4/1/2018,2.009,1.569,Entire Series
5/1/2018,5.443,1.444,Entire Series
6/1/2018,2.095,1.443,Entire Series
7/1/2018,5.488,1.066,Entire Series
8/1/2018,3.226,.715,Entire Series
9/1/2018,4.637,.571,Entire Series
10/1/2018,3.825,1.133,Entire Series
11/1/2018,6.223,1.737,Entire Series
12/1/2018,3.655,1.688,Entire Series
1/1/2019,5.143,1.746,Entire Series
2/1/2019,3.965,1.582,Entire Series
3/1/2019,4.699,2.481,Entire Series
4/1/2019,4.241,2.825,Entire Series
5/1/2019,3.456,1.766,Entire Series
6/1/2019,4.343,1.627,Entire Series
7/1/2019,2.529,2.179,Entire Series
8/1/2019,3.048,2.223,Entire Series
9/1/2019,2.52,2.035,Entire Series
10/1/2019,1.356,2.131,Entire Series
11/1/2019,2.638,2.312,Entire Series
12/1/2019,2.663,1.844,Entire Series
1/1/2020,1.033,1.399,Entire Series
2/1/2020,2.874,1.723,Entire Series
3/1/2020,1.93,1.788,Entire Series
4/1/2020,-.623,1.495,Entire Series
5/1/2020,-7.432,1.04,Entire Series
6/1/2020,-5.214,1.494,Entire Series
7/1/2020,-2.788,1.308,Entire Series
8/1/2020,-5.113,1.445,Entire Series
9/1/2020,-1.512,1.098,Entire Series
10/1/2020,-3.994,1.288,Entire Series
11/1/2020,-1.755,1.004,Entire Series
12/1/2020,-4.738,1.149,Entire Series
1/1/2021,-2.444,1.66,Entire Series
2/1/2021,-3.738,1.56,Entire Series
3/1/2021,-2.305,1.241,Entire Series
