Date,No_Resp,yoyuc,uc_exp
1/1/2012,170,.015218964540723,.0182826584282832
1/1/2013,200,.0158640117375209,.0181747685214234
1/1/2014,208,.017,.018908621220915
1/1/2015,224,.0155355300922189,.0170057572516601
1/1/2016,220,.0137695475828928,.0180494100499669
1/1/2017,204,.0176649226921618,.0204850807035324
1/1/2018,163,.0195624844805129,.0199177203752389
1/1/2019,221,.021,.02
1/1/2020,234,.0169769120846036,.0194754289796013
1/1/2021,209,.0183270176027479,.0218833343068078
1/1/2022,179,.037297782872648,.0337544530891509
1/1/2023,152,.0368050500508167,.0298674884469295
1/1/2024,270,.0273872068741942,.0222806916272587
1/1/2025,298,.0244706994957131,.0222116803486567
1/1/2026,436,.0227632969617844,.0200097896158695
10/1/2011,164,.011,.0192690957625272
10/1/2012,196,.014113751865297,.0182715403684775
10/1/2013,216,.0168524267501066,.0191285963163127
10/1/2014,216,.0190611792309833,.0192973862495173
10/1/2015,225,.0128712459507858,.0175091972476696
10/1/2016,225,.0169131215094324,.0172636947329097
10/1/2017,187,.0168568550490061,.018441043036871
10/1/2018,173,.0222345249903526,.0232097482620194
10/1/2019,229,.0171300560903105,.0182994654654086
10/1/2020,211,.0155207944964339,.0182154727160854
10/1/2021,176,.0352028274873088,.0310976151470216
10/1/2022,166,.04137442,.03269187
10/1/2023,209,.0317042880819076,.0243433754470911
10/1/2024,309,.0262446510021377,.0222353954182447
10/1/2025,501,.0241382836414449,.02273875884941
11/1/2011,159,.0172777037351193,.0201147490946976
11/1/2012,198,.0165677071624156,.0209078582234023
11/1/2013,207,.0161176640287234,.0188717458518716
11/1/2014,209,.0188911284788037,.0196621781010893
11/1/2015,221,.0125131815249473,.0182046155459288
11/1/2016,210,.0165398048818377,.0198382087908843
11/1/2017,168,.017295777197352,.0203630203497999
11/1/2018,193,.0218272290199826,.0223539009423689
11/1/2019,240,.0174068280847675,.0196566034458524
11/1/2020,193,.0133369646888081,.0188301494695384
11/1/2021,190,.0360442628127114,.0328966560615451
11/1/2022,158,.0400723078913524,.0328987738121368
11/1/2023,224,.0324424919887386,.0250098585567177
11/1/2024,308,.0257429767859145,.0215729562536274
11/1/2025,465,.0232673396365788,.0217513072454572
12/1/2011,167,.0182831002782677,.0185916795131566
12/1/2012,207,.0148077949343842,.0186959548020418
12/1/2013,203,.0176093078386443,.019074489307029
12/1/2014,201,.0171651876774112,.0186354136592938
12/1/2015,213,.0145634330351953,.0189962004057141
12/1/2016,206,.016858024536527,.0206830867691194
12/1/2017,164,.0178879079898561,.0206091693527813
12/1/2018,219,.0224125656631534,.0232869324142756
12/1/2019,221,.0164498440656345,.0186102684528082
12/1/2020,204,.0165839925508026,.0197715615313912
12/1/2021,193,.0361594308905714,.0341661708049178
12/1/2022,184,.0376198066050664,.0312120155868525
12/1/2023,234,.0287387543711355,.0237085220949713
12/1/2024,307,.0250634184611937,.0203516436105828
12/1/2025,435,.023941877782337,.0224371528044026
2/1/2012,168,.0176173931125474,.0187183770803319
2/1/2013,199,.0166897041052893,.0194429304818785
2/1/2014,200,.017670057852708,.0197507052271436
2/1/2015,208,.0150346512299904,.0168977670533944
2/1/2016,215,.011834706851509,.0179883413722467
2/1/2017,212,.0165609229461151,.0201255484431453
2/1/2018,168,.0176032864025877,.0202120071220855
2/1/2019,218,.0186664622816656,.019108265910394
2/1/2020,218,.0152216425199572,.0173972920314992
2/1/2021,204,.0205525902706059,.0218064026315441
2/1/2022,175,.0404249092553833,.0355822333220859
2/1/2023,171,.0352247076009025,.0288121229017435
2/1/2024,295,.0256806032363443,.0228797393051324
2/1/2025,296,.021899880048376,.0227399621692754
2/1/2026,477,.020577147603035,.0193960685282946
3/1/2012,162,.0177350001723111,.019710459017346
3/1/2013,193,.0174712378449099,.0191093280456824
3/1/2014,196,.0171089920944403,.0178519488802872
3/1/2015,203,.0154896565077932,.0171471043827152
3/1/2016,211,.013491960227631,.0180661992814542
3/1/2017,211,.017418099603776,.0207436587594409
3/1/2018,165,.0187474070354624,.0214546688601111
3/1/2019,225,.019787355774329,.0194620882044413
3/1/2020,228,.0156458637483488,.018570441413873
3/1/2021,196,.0224600695810498,.0239097189142692
3/1/2022,183,.0410442914854754,.0377872457269783
3/1/2023,167,.038152613863075,.031293721045458
3/1/2024,307,.0279050458567819,.0239057805679593
3/1/2025,277,.0239815531443472,.0248634442843633
3/1/2026,390,.0199584886431694,.0211677141487598
4/1/2012,165,.0188177153755899,.0205836531245756
4/1/2013,189,.0176265062118902,.0208256622177206
4/1/2014,181,.0172503463440961,.0187306267589386
4/1/2015,180,.0145085964032836,.0174939116011976
4/1/2016,202,.0120558166787198,.0172411753796999
4/1/2017,218,.0157276247930231,.0189781667778466
4/1/2018,178,.0213567578123135,.0225162436745356
4/1/2019,215,.0205122157434319,.019195258709035
4/1/2020,242,.0120713494226411,.0137432365641772
4/1/2021,199,.0238519226914514,.025339558838919
4/1/2022,207,.0419755366396115,.0379011068400749
4/1/2023,200,.0358913796452736,.0283949144148382
4/1/2024,297,.0259696042615423,.0228241788055861
4/1/2025,317,.0222778901379786,.0276362612036133
4/1/2026,455,.0242954753339291,.0228449646383524
5/1/2012,164,.0164147713943003,.0182803492049263
5/1/2013,184,.017738715068582,.0197281985171926
5/1/2014,182,.017823414096659,.0192394378975117
5/1/2015,200,.0156675337115278,.0191989142256909
5/1/2016,207,.0150964541623761,.0185586140601255
5/1/2017,200,.0182588955982533,.0202559734498281
5/1/2018,170,.0190406528003215,.0195182375655733
5/1/2019,219,.0178720682928967,.0196330798601791
5/1/2020,223,.0115216384476507,.0149097987062231
5/1/2021,187,.0282857618534977,.0283571575629518
5/1/2022,199,.04154555849388,.0371931459482334
5/1/2023,185,.0347760672205372,.0293874988651952
5/1/2024,310,.0265677430755339,.0231263538135775
5/1/2025,356,.023318013974024,.0254403870773666
5/1/2026,429,.023622140288353,.0235904399305582
6/1/2012,167,.0155120180201184,.0169215325528958
6/1/2013,190,.0168923075576467,.017903577395176
6/1/2014,242,.0190116449720047,.0199985390276088
6/1/2015,197,.0141056838395056,.0188680061749038
6/1/2016,219,.0143317605165787,.0177249583285854
6/1/2017,198,.0188075799316661,.0196436043786931
6/1/2018,181,.0203146648562477,.0211405228851353
6/1/2019,238,.0208615631090016,.0198600120035294
6/1/2020,208,.0123064948345648,.0174348975046436
6/1/2021,195,.0297898688125801,.0298639675381491
6/1/2022,185,.0434543558250636,.0365918227986385
6/1/2023,204,.0312974742120765,.0266840957989258
6/1/2024,308,.0284912154445834,.0227587164893994
6/1/2025,367,.0230761715780263,.0241773862544518
6/1/2026,395,.0242979172617197,.0232170578092337
7/1/2012,160,.015177937900926,.0170461473504451
7/1/2013,209,.0175351001177797,.0184355545109467
7/1/2014,237,.0183767818281567,.019
7/1/2015,221,.0151659609231461,.0198148971340575
7/1/2016,244,.0148626180516759,.0172310455853205
7/1/2017,213,.0174908956648064,.0171452450137122
7/1/2018,182,.018627312494089,.0206380806281539
7/1/2019,244,.0193607829333051,.0188761509720382
7/1/2020,224,.0112386756312071,.0173044080630714
7/1/2021,175,.0291757762209573,.028163658772508
7/1/2022,172,.0439661129309759,.036663363647446
7/1/2023,199,.0323570394971228,.0284803489797618
7/1/2024,329,.0270073869439377,.023896659435915
7/1/2025,454,.0227634516157549,.0228779742724667
8/1/2012,169,.0162100079320503,.0185381434952016
8/1/2013,212,.0170216883507553,.0199739647285131
8/1/2014,211,.0182427242064242,.0202060126245607
8/1/2015,206,.0134721105512862,.0181602454155064
8/1/2016,225,.0145403684653893,.0176311102487551
8/1/2017,183,.0173999169461194,.0193303456350008
8/1/2018,187,.0197641215722544,.021252999968115
8/1/2019,243,.0187225516854551,.019502129098966
8/1/2020,212,.0148034356630561,.0173828815811864
8/1/2021,186,.0328985363005853,.0295859646149422
8/1/2022,173,.0434178059924298,.0346661556530032
8/1/2023,202,.033417880755027,.0252275225848891
8/1/2024,330,.0262785676971561,.0215168714382129
8/1/2025,505,.0225968861475916,.0225968020222955
9/1/2012,192,.0133842079940464,.0172861636578291
9/1/2013,206,.016769876066581,.0187948998221611
9/1/2014,190,.0183341922064787,.0205763963186226
9/1/2015,224,.0129905196641439,.0173075397363541
9/1/2016,229,.0151819727958306,.0190171383606498
9/1/2017,153,.0171733111826986,.0190504664315829
9/1/2018,174,.0199867391292821,.0219660601985481
9/1/2019,235,.0186383543053598,.0201769191225622
9/1/2020,209,.0126955493884,.0155574932071
9/1/2021,185,.0317670927784715,.0305707609757317
9/1/2022,164,.0409163881915143,.0334626998488972
9/1/2023,197,.0314429593800635,.0252792041649939
9/1/2024,338,.0259922976904602,.0210981695311843
9/1/2025,435,.0241202983024554,.0225680321662877
