"Quarter","Average of responses","<-1%","-1% to 1%","1.1% to 3%","3.1% to 5%",">5%","TimePeriod","Survey"
2025 Q1,2.83478292283199,4.389404473877912,11.18426992911515,38.71507277694022,27.237197202123,18.4740544256283,Last 12 months,3/1/2025
2025 Q2,2.83067503325517,5.555560027292493,11.62649865996459,34.58098620494208,29.49555424503801,18.74139998248164,Last 12 months,6/1/2025
2025 Q3,2.81936945925839,4.466125050390662,12.54884644597946,35.02290305071084,28.67867233853177,19.28345441588862,Last 12 months,9/1/2025
2025 Q4,2.73480688722688,4.4073862724923,12.76557550766608,38.45078363661167,28.08597294449718,16.29028311680672,Last 12 months,12/1/2025
2026 Q1,2.75277234613895,3.85430976748466,10.62984019517899,40.94799757003784,29.44744825363159,15.12040644884109,Last 12 months,3/1/2026
2023 Q2,2.96894076049254,4.015030519316661,10.49411492629929,36.64462159909966,28.30844632874807,20.5377909092845,Last 3 years,6/1/2023
2023 Q3,2.94852240005782,3.79444238681847,9.763961316446014,38.45770953432012,28.54141037340759,19.44247853223351,Last 3 years,9/1/2023
2023 Q4,2.8335020798899,4.813810375874554,10.54476305135138,38.27800342230713,27.56465617788741,18.79876581935832,Last 3 years,12/1/2023
2024 Q1,2.84218998722328,4.553557508160412,11.1756596898462,37.05160491089161,28.85314941520632,18.36602526640271,Last 3 years,3/1/2024
2024 Q2,2.76251349512207,5.777895697855902,11.26284711128146,36.362238169995,27.02147798352252,19.57554636651925,Last 3 years,6/1/2024
2024 Q3,2.67320351508734,4.627970219246165,14.76485971878174,37.1296306678612,26.89337877549852,16.58416251625451,Last 3 years,9/1/2024
2024 Q4,2.60767915126813,4.701482301296553,12.28137551898059,40.32314662025422,29.36241120936459,13.33158299397648,Last 3 years,12/1/2024
2025 Q1,2.83478292283199,4.389404473877912,11.18426992911515,38.71507277694022,27.237197202123,18.4740544256283,Last 3 years,3/1/2025
2025 Q2,2.83067503325517,5.555560027292493,11.62649865996459,34.58098620494208,29.49555424503801,18.74139998248164,Last 3 years,6/1/2025
2025 Q3,2.81936945925839,4.466125050390662,12.54884644597946,35.02290305071084,28.67867233853177,19.28345441588862,Last 3 years,9/1/2025
2025 Q4,2.73480688722688,4.4073862724923,12.76557550766608,38.45078363661167,28.08597294449718,16.29028311680672,Last 3 years,12/1/2025
2026 Q1,2.75277234613895,3.85430976748466,10.62984019517899,40.94799757003784,29.44744825363159,15.12040644884109,Last 3 years,3/1/2026
2021 Q2,3.03238679542541,1.802394,9.018594,39.21517999999999,30.65787,19.30596,Last 5 years,6/1/2021
2021 Q3,2.95080388120908,3.917615189618046,11.08924288464189,35.33656242331131,28.64472462866509,21.01185499772206,Last 5 years,9/1/2021
2021 Q4,3.1516370140143,2.489410984512327,9.643987062213641,34.61122946145338,29.9815763892386,23.27379175677521,Last 5 years,12/1/2021
2022 Q1,3.34278321725407,1.359711720933052,9.624154919506051,31.25184333821961,32.02778683026762,25.73650205793491,Last 5 years,3/1/2022
2022 Q2,3.4794494780062,3.159030369352353,6.946069183712278,28.5793012976486,29.23138015444538,32.08421713982848,Last 5 years,6/1/2022
2022 Q3,3.18054023713098,3.252849077421201,8.572867154984108,33.72698385658639,31.95573422267018,22.49156478598072,Last 5 years,9/1/2022
2022 Q4,3.09822225766833,3.369962790045514,9.258427415630562,33.63425565735312,29.12847777928265,24.60887368337793,Last 5 years,12/1/2022
2023 Q1,3.09467949660232,3.049933208630106,8.865967174470091,36.34981170149515,28.95669475844204,22.77759294367307,Last 5 years,3/1/2023
2023 Q2,2.96894076049254,4.015030519316661,10.49411492629929,36.64462159909966,28.30844632874807,20.5377909092845,Last 5 years,6/1/2023
2023 Q3,2.94852240005782,3.79444238681847,9.763961316446014,38.45770953432012,28.54141037340759,19.44247853223351,Last 5 years,9/1/2023
2023 Q4,2.8335020798899,4.813810375874554,10.54476305135138,38.27800342230713,27.56465617788741,18.79876581935832,Last 5 years,12/1/2023
2024 Q1,2.84218998722328,4.553557508160412,11.1756596898462,37.05160491089161,28.85314941520632,18.36602526640271,Last 5 years,3/1/2024
2024 Q2,2.76251349512207,5.777895697855902,11.26284711128146,36.362238169995,27.02147798352252,19.57554636651925,Last 5 years,6/1/2024
2024 Q3,2.67320351508734,4.627970219246165,14.76485971878174,37.1296306678612,26.89337877549852,16.58416251625451,Last 5 years,9/1/2024
2024 Q4,2.60767915126813,4.701482301296553,12.28137551898059,40.32314662025422,29.36241120936459,13.33158299397648,Last 5 years,12/1/2024
2025 Q1,2.83478292283199,4.389404473877912,11.18426992911515,38.71507277694022,27.237197202123,18.4740544256283,Last 5 years,3/1/2025
2025 Q2,2.83067503325517,5.555560027292493,11.62649865996459,34.58098620494208,29.49555424503801,18.74139998248164,Last 5 years,6/1/2025
2025 Q3,2.81936945925839,4.466125050390662,12.54884644597946,35.02290305071084,28.67867233853177,19.28345441588862,Last 5 years,9/1/2025
2025 Q4,2.73480688722688,4.4073862724923,12.76557550766608,38.45078363661167,28.08597294449718,16.29028311680672,Last 5 years,12/1/2025
2026 Q1,2.75277234613895,3.85430976748466,10.62984019517899,40.94799757003784,29.44744825363159,15.12040644884109,Last 5 years,3/1/2026
2016 Q2,2.58761421319797,3.197969543147209,15.23350253807107,43.16751269035534,25.79187817258882,12.60913705583757,Last 10 years,4/1/2016
2016 Q3,2.56987124463519,4.37339055793991,15.59656652360517,40.96566523605153,25.29184549356224,13.77253218884121,Last 10 years,7/1/2016
2016 Q4,2.7,3.276018294813417,14.94570224829934,40.49773997041449,27.21267130525952,14.06787414167806,Last 10 years,10/1/2016
2017 Q1,2.8,2.53694581280788,13.9704433497537,40.44334975369458,27.68472906403942,15.36453201970444,Last 10 years,1/1/2017
2017 Q2,2.68835680751174,2.73239436619718,15.25821596244132,40.85446009389669,27.16901408450704,13.98591549295776,Last 10 years,4/1/2017
2017 Q3,2.74056338028169,3.173709109355594,12.73708996106766,41.23943907778042,29.58685622360797,13.26291158865321,Last 10 years,7/1/2017
2017 Q4,2.75,3.47826086956522,14.55434782608696,39.04891304347827,26.82608695652174,16.09239130434783,Last 10 years,10/1/2017
2018 Q1,2.81592592592593,2.5679012345679,11.90740740740741,42.85802469135803,27.49382716049381,15.17283950617284,Last 10 years,1/1/2018
2018 Q2,2.92158192090395,2.50282485875706,13.30508474576272,38.44632768361582,27.10169491525424,18.64406779661017,Last 10 years,4/1/2018
2018 Q3,2.80748603351955,2.68156424581005,11.69273743016759,42.54189944134077,28.73743016759777,14.34636871508381,Last 10 years,7/1/2018
