Survey,Realized,Expected,TimePeriod
9/1/2016,3.498,,Entire Series
10/1/2016,2.618,,Entire Series
11/1/2016,1.791,,Entire Series
12/1/2016,3.908,,Entire Series
1/1/2017,2.415,,Entire Series
2/1/2017,4.091,,Entire Series
3/1/2017,3.483,,Entire Series
4/1/2017,4.324,,Entire Series
5/1/2017,3.963,,Entire Series
6/1/2017,3.852,,Entire Series
7/1/2017,4.493,,Entire Series
8/1/2017,5.738,,Entire Series
9/1/2017,5.158,2.93,Entire Series
10/1/2017,4.43,3.192,Entire Series
11/1/2017,4.466,4.022,Entire Series
12/1/2017,5.038,4.04,Entire Series
1/1/2018,5.472,4.472,Entire Series
2/1/2018,5.843,4.296,Entire Series
3/1/2018,4.174,4.297,Entire Series
4/1/2018,5.57,4.688,Entire Series
5/1/2018,8.346,4.18,Entire Series
6/1/2018,6.363,4.14,Entire Series
7/1/2018,6.416,3.935,Entire Series
8/1/2018,5.904,4.173,Entire Series
9/1/2018,8.156,4.308,Entire Series
10/1/2018,6.291,4.277,Entire Series
11/1/2018,6.007,4.432,Entire Series
12/1/2018,6.678,4.185,Entire Series
1/1/2019,8.122,4.347,Entire Series
2/1/2019,6.347,4.577,Entire Series
3/1/2019,7.661,5.044,Entire Series
4/1/2019,4.471,5.138,Entire Series
5/1/2019,3.737,4.972,Entire Series
6/1/2019,7.005,4.648,Entire Series
7/1/2019,4.046,5.474,Entire Series
8/1/2019,2.115,5.556,Entire Series
9/1/2019,4.141,5.063,Entire Series
10/1/2019,4.196,5.42,Entire Series
11/1/2019,2.548,5.421,Entire Series
12/1/2019,4.706,4.878,Entire Series
1/1/2020,5.183,4.44,Entire Series
2/1/2020,4.184,4.359,Entire Series
3/1/2020,2.278,4.186,Entire Series
4/1/2020,-.999,4.714,Entire Series
5/1/2020,-.904,5.062,Entire Series
6/1/2020,-9.778,4.857,Entire Series
7/1/2020,-5.803,4.401,Entire Series
8/1/2020,-3.133,4.53,Entire Series
9/1/2020,-4.431,4.162,Entire Series
10/1/2020,-.995,4.204,Entire Series
11/1/2020,-4.493,3.989,Entire Series
12/1/2020,-3.96,3.748,Entire Series
1/1/2021,-3.227,3.803,Entire Series
2/1/2021,1.535,3.722,Entire Series
3/1/2021,.875,2.681,Entire Series
4/1/2021,6.113,.63,Entire Series
5/1/2021,8.599,-.615,Entire Series
6/1/2021,13.722,-.098,Entire Series
7/1/2021,8.523,1.35,Entire Series
8/1/2021,11.041,1.375,Entire Series
9/1/2021,12.015,2.175,Entire Series
10/1/2021,9.204,3.377,Entire Series
11/1/2021,11.049,3.575,Entire Series
12/1/2021,8.974,3.82,Entire Series
1/1/2022,10.87,4.515,Entire Series
2/1/2022,9.044,5.726,Entire Series
3/1/2022,11.466,5.264,Entire Series
4/1/2022,7.764,5.37,Entire Series
5/1/2022,10.591,6.235,Entire Series
6/1/2022,6.696,6.141,Entire Series
7/1/2022,10.853,6.481,Entire Series
8/1/2022,6.774,5.942,Entire Series
9/1/2022,8.391,5.408,Entire Series
10/1/2022,8.748,5.874,Entire Series
11/1/2022,8.489,5.386,Entire Series
12/1/2022,7.293,5.228,Entire Series
1/1/2023,8.45,5.402,Entire Series
2/1/2023,8.861,5.093,Entire Series
3/1/2023,4.67,5.628,Entire Series
4/1/2023,6.96,6.912,Entire Series
5/1/2023,7.563,6.732,Entire Series
6/1/2023,5.28,5.824,Entire Series
7/1/2023,5.24,5.206,Entire Series
8/1/2023,5.856,4.61,Entire Series
9/1/2023,4.748,4.86,Entire Series
10/1/2023,3.708,4.59,Entire Series
11/1/2023,2.255,4.831,Entire Series
12/1/2023,3.925,5.453,Entire Series
1/1/2024,2.936,4.817,Entire Series
2/1/2024,3.913,4.801,Entire Series
3/1/2024,4.068,5.139,Entire Series
4/1/2024,4.298,4.277,Entire Series
5/1/2024,4.749,3.961,Entire Series
6/1/2024,2.485,4.265,Entire Series
7/1/2024,3.357,3.833,Entire Series
8/1/2024,3.356,3.803,Entire Series
9/1/2024,2.981,4.157,Entire Series
10/1/2024,5.145,3.651,Entire Series
11/1/2024,3.927,3.46,Entire Series
12/1/2024,2.009,3.815,Entire Series
1/1/2025,3.018,3.863,Entire Series
2/1/2025,2.504,3.751,Entire Series
3/1/2025,2.356,4.01,Entire Series
4/1/2025,3.541,4.323,Entire Series
5/1/2025,3.116,4.1,Entire Series
6/1/2025,4.189,3.695,Entire Series
7/1/2025,3.832,3.932,Entire Series
