Survey,Smoothed Sales Revenue,Smoothed Employment,Unsmoothed Sales Revenue,Unsmoothed Employment,TimePeriod
9/1/2016,3.139,4.498,3.558,4.548,Entire Series
10/1/2016,3.236,4.012,3.686,4.548,Entire Series
11/1/2016,3.4,4.181,3.259,4.23,Entire Series
12/1/2016,2.859,3.92,3.129,4.051,Entire Series
1/1/2017,3.107,3.943,2.983,3.932,Entire Series
2/1/2017,2.98,4.238,3.044,4.09,Entire Series
3/1/2017,2.988,4.363,2.984,4.3,Entire Series
4/1/2017,2.803,4.504,2.895,4.433,Entire Series
5/1/2017,2.823,4,2.813,4.252,Entire Series
6/1/2017,3.148,3.899,2.986,3.95,Entire Series
7/1/2017,3.044,4.055,3.096,3.977,Entire Series
8/1/2017,2.843,3.972,2.944,4.014,Entire Series
9/1/2017,3.053,3.903,2.948,3.938,Entire Series
10/1/2017,2.734,4.107,2.893,4.005,Entire Series
11/1/2017,3.307,4.085,3.02,4.096,Entire Series
12/1/2017,2.928,3.733,3.117,3.909,Entire Series
1/1/2018,3.355,4.025,3.141,3.879,Entire Series
2/1/2018,2.408,3.6,2.882,3.813,Entire Series
3/1/2018,3.217,4.307,2.813,3.953,Entire Series
4/1/2018,2.945,3.537,3.081,3.922,Entire Series
5/1/2018,2.936,4.003,2.941,3.77,Entire Series
6/1/2018,2.688,3.576,2.812,3.79,Entire Series
7/1/2018,3.5,4.153,3.094,3.865,Entire Series
8/1/2018,2.595,4.111,3.047,4.132,Entire Series
9/1/2018,3.242,4.009,2.918,4.06,Entire Series
10/1/2018,2.789,3.735,3.016,3.872,Entire Series
11/1/2018,3.287,4.278,3.038,4.007,Entire Series
12/1/2018,3.16,3.865,3.224,4.071,Entire Series
1/1/2019,3.084,3.527,3.122,3.696,Entire Series
2/1/2019,2.931,3.621,3.008,3.574,Entire Series
3/1/2019,2.961,3.584,2.946,3.603,Entire Series
4/1/2019,3.309,4.113,3.135,3.849,Entire Series
5/1/2019,2.654,4.378,2.982,4.246,Entire Series
6/1/2019,3.62,3.984,3.194,4.159,Entire Series
7/1/2019,2.902,3.675,3.059,4.012,Entire Series
8/1/2019,3.773,3.969,3.431,3.876,Entire Series
9/1/2019,3.089,3.765,3.255,3.803,Entire Series
10/1/2019,3.04,4.083,3.3,3.939,Entire Series
11/1/2019,3.009,4.379,3.046,4.076,Entire Series
12/1/2019,3.392,4.176,3.147,4.213,Entire Series
1/1/2020,2.71,3.78,3.037,4.112,Entire Series
2/1/2020,3.193,4.349,3.098,4.102,Entire Series
3/1/2020,5.199,4.275,3.701,4.134,Entire Series
4/1/2020,5.952,6.261,4.782,4.961,Entire Series
5/1/2020,6.405,6.562,5.852,5.699,Entire Series
6/1/2020,5.942,5.279,6.1,6.034,Entire Series
7/1/2020,5.417,5.045,5.922,5.629,Entire Series
8/1/2020,6.004,5.932,5.788,5.418,Entire Series
9/1/2020,4.889,5.47,5.447,5.701,Entire Series
10/1/2020,5.359,5.594,5.124,5.532,Entire Series
11/1/2020,5.06,5.403,5.21,5.498,Entire Series
12/1/2020,4.989,5.293,5.025,5.348,Entire Series
1/1/2021,4.003,5.225,4.496,5.259,Entire Series
